public_filename	dataset	public_class_label	original_clip_id	title	creator	source_url	license_name	license_url	changes
FSD50K_103576_0.104_1.962_sr32000.wav	FSD50K	Breathing	103576	inhale.wav	ryansnook	https://freesound.org/s/103576/	CC BY-NC 3.0	http://creativecommons.org/licenses/by-nc/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_121975_0.070_5.120_sr32000.wav	FSD50K	Breathing	121975	fumando.wav	gandahar	https://freesound.org/s/121975/	CC0 1.0	http://creativecommons.org/publicdomain/zero/1.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_124788_2.067_2.566_sr32000.wav	FSD50K	Breathing	124788	03_dictator_inademing.aif	Greencouch	https://freesound.org/s/124788/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_140301_1.939_3.088_sr32000.wav	FSD50K	Breathing	140301	Breath in and out Cigarette	Project_Trident	https://freesound.org/s/140301/	CC BY-NC 3.0	http://creativecommons.org/licenses/by-nc/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_141461_0.058_1.625_sr32000.wav	FSD50K	Breathing	141461	breathe2.wav	REC242	https://freesound.org/s/141461/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_151215_0.151_0.743_sr32000.wav	FSD50K	Breathing	151215	Female Breathing Heavily (2)	OwlStorm	https://freesound.org/s/151215/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_151215_0.940_1.637_sr32000.wav	FSD50K	Breathing	151215	Female Breathing Heavily (2)	OwlStorm	https://freesound.org/s/151215/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_151215_1.788_2.403_sr32000.wav	FSD50K	Breathing	151215	Female Breathing Heavily (2)	OwlStorm	https://freesound.org/s/151215/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_151215_2.577_3.181_sr32000.wav	FSD50K	Breathing	151215	Female Breathing Heavily (2)	OwlStorm	https://freesound.org/s/151215/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
FSD50K_151215_3.437_3.820_sr32000.wav	FSD50K	Breathing	151215	Female Breathing Heavily (2)	OwlStorm	https://freesound.org/s/151215/	CC BY 3.0	http://creativecommons.org/licenses/by/3.0/	cropped/segmented from FSD50K source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
