public_filename	dataset	original_clip_id	license_name	license_url	changes	license_scope
VocalSound_f0003_0_sniff_1.370_1.707_sr32000.wav	VocalSound	f0003_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0003_0_sniff_2.519_2.879_sr32000.wav	VocalSound	f0003_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0004_0_sniff_0.501_1.035_sr32000.wav	VocalSound	f0004_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0004_0_sniff_4.117_4.512_sr32000.wav	VocalSound	f0004_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0007_0_sniff_1.088_2.155_sr32000.wav	VocalSound	f0007_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0008_0_sniff_1.771_2.443_sr32000.wav	VocalSound	f0008_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0015_0_sniff_4.811_6.133_sr32000.wav	VocalSound	f0015_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0017_0_sniff_0.331_1.760_sr32000.wav	VocalSound	f0017_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0029_0_sniff_0.640_1.749_sr32000.wav	VocalSound	f0029_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0037_0_sniff_0.341_0.949_sr32000.wav	VocalSound	f0037_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0037_0_sniff_2.827_3.157_sr32000.wav	VocalSound	f0037_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0043_0_sniff_1.163_1.504_sr32000.wav	VocalSound	f0043_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0043_0_sniff_1.888_2.304_sr32000.wav	VocalSound	f0043_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0057_0_sniff_2.496_3.008_sr32000.wav	VocalSound	f0057_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0061_0_sniff_0.576_1.419_sr32000.wav	VocalSound	f0061_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0061_0_sniff_2.261_3.168_sr32000.wav	VocalSound	f0061_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0061_0_sniff_4.597_5.077_sr32000.wav	VocalSound	f0061_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0073_0_sniff_0.800_1.077_sr32000.wav	VocalSound	f0073_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0073_0_sniff_1.387_1.653_sr32000.wav	VocalSound	f0073_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0074_0_sniff_0.256_0.981_sr32000.wav	VocalSound	f0074_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0074_0_sniff_1.675_1.952_sr32000.wav	VocalSound	f0074_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0080_0_sniff_0.533_0.939_sr32000.wav	VocalSound	f0080_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0080_0_sniff_2.101_2.432_sr32000.wav	VocalSound	f0080_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0080_0_sniff_3.264_3.531_sr32000.wav	VocalSound	f0080_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0081_0_sniff_0.789_1.131_sr32000.wav	VocalSound	f0081_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
VocalSound_f0081_0_sniff_1.632_2.155_sr32000.wav	VocalSound	f0081_0_sniff	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	cropped/segmented from VocalSound source audio; resampled from 44.1 kHz to 16 kHz; used as source material for synthetic soundscape generation	dataset-level
